sentence,source,href
凡蹈危者虑深而获全，居安者患生于所忽,《新五代史·列传·杂传第四十二》,/mingju/juv_1562caa05cbd.aspx
新绿小池塘，风帘动、碎影舞斜阳。,周邦彦《风流子·新绿小池塘》,/mingju/juv_42e7702dbc25.aspx
问春何苦匆匆，带风伴雨如驰骤。,晁补之《水龙吟·次歆林圣予惜春》,/mingju/juv_2804909a1d9c.aspx
枉望断天涯，两厌厌风月。,贺铸《石州慢·薄雨收寒》,/mingju/juv_3e8b47e9fcaa.aspx
冲天香阵透长安，满城尽带黄金甲。,黄巢《不第后赋菊》,/mingju/juv_91d6afe2d815.aspx
绿塘摇滟接星津，轧轧兰桡入白蘋。,温庭筠《莲花》,/mingju/juv_aa2444f85b92.aspx
菊之爱，陶后鲜有闻。,周敦颐《爱莲说》,/mingju/juv_94a264779623.aspx
我欲乘风归去，又恐琼楼玉宇，高处不胜寒。,苏轼《水调歌头·明月几时有》,/mingju/juv_2440a90a8220.aspx
长歌吟松风，曲尽河星稀。,李白《下终南山过斛斯山人宿置酒》,/mingju/juv_158332fddac4.aspx
男儿到死心如铁,辛弃疾《贺新郎·同父见和再用韵答之》,/mingju/juv_c380f15c689e.aspx
昨夜秋风入汉关，朔云边月满西山。,严武《军城早秋》,/mingju/juv_49b0256d2907.aspx
又闻子规啼夜月，愁空山。,李白《蜀道难》,/mingju/juv_a545b895e37f.aspx
理无常是，事无常非。,《列子·说符》,/mingju/juv_65bcb683c909.aspx
夫纤啬筋力，治生之正道也，而富者必用奇胜。,《史记·七十列传·货殖列传》,/mingju/juv_a6541aff3587.aspx
博学笃志，切问近思，此八字是收放心的工夫,《围炉夜话·第一七六则》,/mingju/juv_ffbfdf757db5.aspx
兵者不祥之器，非君子之器，不得已而用之，恬淡为上。,《老子·道经·第三十一章》,/mingju/juv_bea80702b053.aspx
但去莫复问，白云无尽时。,王维《送别》,/mingju/juv_df1e9f35eab2.aspx
古木无人径，深山何处钟。,王维《过香积寺》,/mingju/juv_af82673de684.aspx
世人以七尺为性命，君子以性命为七尺。,《格言联璧·持躬类》,/mingju/juv_9fbbce764259.aspx
恭俭福之舆，傲侈祸之机。,《北史·列传·卷十二》,/mingju/juv_b7a2cd1aef81.aspx
春潮带雨晚来急，野渡无人舟自横。,韦应物《滁州西涧》,/mingju/juv_f9df0045bd8d.aspx
秋气集南涧，独游亭午时。,柳宗元《南涧中题》,/mingju/juv_c045feb1dabe.aspx
大江来从万山中，山势尽与江流东。,高启《登金陵雨花台望大江》,/mingju/juv_960961b9725d.aspx
南湖秋水夜无烟，耐可乘流直上天。,李白《游洞庭湖五首·其二》,/mingju/juv_128030c165e6.aspx
灿灿萱草花，罗生北堂下。,王冕《墨萱图·其一》,/mingju/juv_5ecbe3aa0b9c.aspx
行宫见月伤心色，夜雨闻铃肠断声。,白居易《长恨歌》,/mingju/juv_87625fef2b78.aspx
不展芳尊开口笑，如何消得此良辰。,唐寅《元宵》,/mingju/juv_7b7ec6f4a60a.aspx
绿叶渐成阴，下有游人归路。,王安石《伤春怨·雨打江南树》,/mingju/juv_8486c2268d78.aspx
好丑心太明，则物不契；贤愚心太明，则人不亲。,《小窗幽记·集醒篇》,/mingju/juv_13595cb1dc89.aspx
